,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2022-01-03,63.25231481481481,34.64616402116402,53.602843915343904,36.58730158730158,41.11772486772486,16.24503968253968,25.48280423280423,41.63525132275132,17.567791005291003,37.27347883597883,60.291005291005284,32.590939153439145,15.676256613756612,53.09854497354496,129.25429894179894,239.70899470899468,-58.09689153439153,141.12103174603172,159.5866402116402,-124.15839947089945,59.26587301587301,26.927910052910054,32.17096560846561,68.7880291005291,17.478505291005288,63.88227513227513,182.08167989417987,49.823082010582006,23.7797619047619,57.67691798941799,60.001653439153436,175.99537037037035,-3.4689153439153433,67.4537037037037,213.6078042328042,38.64417989417989,26.98412698412698,59.31382275132274,-19.894179894179892,1.9824735449735449,38.84093915343915,59.4510582010582,54.163359788359784,73.33829365079364,25.557208994708994,12.59589947089947,45.722552910052904,237.8984788359788,44.19642857142857,91.4616402116402
2022-01-04,63.25231481481481,34.64616402116402,53.602843915343904,36.58730158730158,41.11772486772486,16.24503968253968,25.48280423280423,41.63525132275132,17.567791005291003,37.27347883597883,60.291005291005284,32.590939153439145,15.676256613756612,53.09854497354496,129.25429894179894,239.70899470899468,-58.09689153439153,141.12103174603172,159.5866402116402,-124.15839947089945,59.26587301587301,26.927910052910054,32.17096560846561,68.7880291005291,17.478505291005288,63.88227513227513,182.08167989417987,49.823082010582006,23.7797619047619,57.67691798941799,60.001653439153436,175.99537037037035,-3.4689153439153433,67.4537037037037,213.6078042328042,38.64417989417989,26.98412698412698,59.31382275132274,-19.894179894179892,1.9824735449735449,38.84093915343915,59.4510582010582,54.163359788359784,73.33829365079364,25.557208994708994,12.59589947089947,45.722552910052904,237.8984788359788,44.19642857142857,91.4616402116402
2022-01-05,63.25231481481481,34.64616402116402,53.602843915343904,36.58730158730158,41.11772486772486,16.24503968253968,25.48280423280423,41.63525132275132,17.567791005291003,37.27347883597883,60.291005291005284,32.590939153439145,15.676256613756612,53.09854497354496,129.25429894179894,239.70899470899468,-58.09689153439153,141.12103174603172,159.5866402116402,-124.15839947089945,59.26587301587301,26.927910052910054,32.17096560846561,68.7880291005291,17.478505291005288,63.88227513227513,182.08167989417987,49.823082010582006,23.7797619047619,57.67691798941799,60.001653439153436,175.99537037037035,-3.4689153439153433,67.4537037037037,213.6078042328042,38.64417989417989,26.98412698412698,59.31382275132274,-19.894179894179892,1.9824735449735449,38.84093915343915,59.4510582010582,54.163359788359784,73.33829365079364,25.557208994708994,12.59589947089947,45.722552910052904,237.8984788359788,44.19642857142857,91.4616402116402
2022-01-06,63.25231481481481,34.64616402116402,53.602843915343904,36.58730158730158,41.11772486772486,16.24503968253968,25.48280423280423,41.63525132275132,17.567791005291003,37.27347883597883,60.291005291005284,32.590939153439145,15.676256613756612,53.09854497354496,129.25429894179894,239.70899470899468,-58.09689153439153,141.12103174603172,159.5866402116402,-124.15839947089945,59.26587301587301,26.927910052910054,32.17096560846561,68.7880291005291,17.478505291005288,63.88227513227513,182.08167989417987,49.823082010582006,23.7797619047619,57.67691798941799,60.001653439153436,175.99537037037035,-3.4689153439153433,67.4537037037037,213.6078042328042,38.64417989417989,26.98412698412698,59.31382275132274,-19.894179894179892,1.9824735449735449,38.84093915343915,59.4510582010582,54.163359788359784,73.33829365079364,25.557208994708994,12.59589947089947,45.722552910052904,237.8984788359788,44.19642857142857,91.4616402116402
2022-01-07,63.25231481481481,34.64616402116402,53.602843915343904,36.58730158730158,41.11772486772486,16.24503968253968,25.48280423280423,41.63525132275132,17.567791005291003,37.27347883597883,60.291005291005284,32.590939153439145,15.676256613756612,53.09854497354496,129.25429894179894,239.70899470899468,-58.09689153439153,141.12103174603172,159.5866402116402,-124.15839947089945,59.26587301587301,26.927910052910054,32.17096560846561,68.7880291005291,17.478505291005288,63.88227513227513,182.08167989417987,49.823082010582006,23.7797619047619,57.67691798941799,60.001653439153436,175.99537037037035,-3.4689153439153433,67.4537037037037,213.6078042328042,38.64417989417989,26.98412698412698,59.31382275132274,-19.894179894179892,1.9824735449735449,38.84093915343915,59.4510582010582,54.163359788359784,73.33829365079364,25.557208994708994,12.59589947089947,45.722552910052904,237.8984788359788,44.19642857142857,91.4616402116402
2022-01-08,63.25231481481481,34.64616402116402,53.602843915343904,36.58730158730158,41.11772486772486,16.24503968253968,25.48280423280423,41.63525132275132,17.567791005291003,37.27347883597883,60.291005291005284,32.590939153439145,15.676256613756612,53.09854497354496,129.25429894179894,239.70899470899468,-58.09689153439153,141.12103174603172,159.5866402116402,-124.15839947089945,59.26587301587301,26.927910052910054,32.17096560846561,68.7880291005291,17.478505291005288,63.88227513227513,182.08167989417987,49.823082010582006,23.7797619047619,57.67691798941799,60.001653439153436,175.99537037037035,-3.4689153439153433,67.4537037037037,213.6078042328042,38.64417989417989,26.98412698412698,59.31382275132274,-19.894179894179892,1.9824735449735449,38.84093915343915,59.4510582010582,54.163359788359784,73.33829365079364,25.557208994708994,12.59589947089947,45.722552910052904,237.8984788359788,44.19642857142857,91.4616402116402
2022-01-09,63.25231481481481,34.64616402116402,53.602843915343904,36.58730158730158,41.11772486772486,16.24503968253968,25.48280423280423,41.63525132275132,17.567791005291003,37.27347883597883,60.291005291005284,32.590939153439145,15.676256613756612,53.09854497354496,129.25429894179894,239.70899470899468,-58.09689153439153,141.12103174603172,159.5866402116402,-124.15839947089945,59.26587301587301,26.927910052910054,32.17096560846561,68.7880291005291,17.478505291005288,63.88227513227513,182.08167989417987,49.823082010582006,23.7797619047619,57.67691798941799,60.001653439153436,175.99537037037035,-3.4689153439153433,67.4537037037037,213.6078042328042,38.64417989417989,26.98412698412698,59.31382275132274,-19.894179894179892,1.9824735449735449,38.84093915343915,59.4510582010582,54.163359788359784,73.33829365079364,25.557208994708994,12.59589947089947,45.722552910052904,237.8984788359788,44.19642857142857,91.4616402116402
2022-01-10,59.87433862433863,15.853174603174601,31.977513227513224,25.071097883597883,40.91269841269841,9.19808201058201,14.335317460317459,53.59788359788359,7.3296957671957665,24.77678571428571,46.51455026455026,25.591931216931215,18.478835978835978,203.2688492063492,70.70271164021163,148.33498677248676,-70.62499999999999,141.58068783068782,106.02182539682539,-133.32341269841268,37.26851851851851,32.210648148148145,19.027777777777775,50.88789682539682,8.166335978835978,96.64682539682538,69.19146825396825,42.49669312169312,15.907738095238095,36.73115079365079,47.885251322751316,67.24041005291005,13.02414021164021,69.46593915343914,169.1683201058201,64.39484126984127,23.115079365079364,37.288359788359784,-18.80621693121693,-58.538359788359784,160.3091931216931,45.297619047619044,61.83035714285714,73.3614417989418,17.964616402116402,16.89318783068783,45.1140873015873,757.5710978835978,39.43617724867724,78.1762566137566
2022-01-11,59.87433862433863,15.853174603174601,31.977513227513224,25.071097883597883,40.91269841269841,9.19808201058201,14.335317460317459,53.59788359788359,7.3296957671957665,24.77678571428571,46.51455026455026,25.591931216931215,18.478835978835978,203.2688492063492,70.70271164021163,148.33498677248676,-70.62499999999999,141.58068783068782,106.02182539682539,-133.32341269841268,37.26851851851851,32.210648148148145,19.027777777777775,50.88789682539682,8.166335978835978,96.64682539682538,69.19146825396825,42.49669312169312,15.907738095238095,36.73115079365079,47.885251322751316,67.24041005291005,13.02414021164021,69.46593915343914,169.1683201058201,64.39484126984127,23.115079365079364,37.288359788359784,-18.80621693121693,-58.538359788359784,160.3091931216931,45.297619047619044,61.83035714285714,73.3614417989418,17.964616402116402,16.89318783068783,45.1140873015873,757.5710978835978,39.43617724867724,78.1762566137566
2022-01-12,59.87433862433863,15.853174603174601,31.977513227513224,25.071097883597883,40.91269841269841,9.19808201058201,14.335317460317459,53.59788359788359,7.3296957671957665,24.77678571428571,46.51455026455026,25.591931216931215,18.478835978835978,203.2688492063492,70.70271164021163,148.33498677248676,-70.62499999999999,141.58068783068782,106.02182539682539,-133.32341269841268,37.26851851851851,32.210648148148145,19.027777777777775,50.88789682539682,8.166335978835978,96.64682539682538,69.19146825396825,42.49669312169312,15.907738095238095,36.73115079365079,47.885251322751316,67.24041005291005,13.02414021164021,69.46593915343914,169.1683201058201,64.39484126984127,23.115079365079364,37.288359788359784,-18.80621693121693,-58.538359788359784,160.3091931216931,45.297619047619044,61.83035714285714,73.3614417989418,17.964616402116402,16.89318783068783,45.1140873015873,757.5710978835978,39.43617724867724,78.1762566137566
