,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2022-01-03,28.063822751322746,27.21395502645502,23.84259259259259,28.62103174603174,65.64814814814814,31.89980158730158,76.89980158730158,33.54001322751322,31.92294973544973,28.763227513227513,25.667989417989414,33.60780423280423,30.140542328042322,27.90839947089947,37.44708994708994,93.77645502645503,30.8151455026455,93.21593915343915,38.58796296296296,24.910714285714285,74.40972222222221,32.21230158730158,28.581349206349206,22.756283068783066,23.556547619047617,40.48115079365079,24.206349206349206,23.690476190476186,32.22056878306878,23.84259259259259,29.115410052910054,89.85119047619047,21.01190476190476,20.46792328042328,35.942460317460316,38.57969576719576,28.81944444444444,29.771825396825395,26.78571428571428,27.581018518518515,26.774140211640212,20.01322751322751,35.59027777777777,29.11210317460317,26.22189153439153,26.57407407407407,22.675264550264547,41.82539682539682,25.16369047619047,57.26686507936507
2022-01-04,28.063822751322746,27.21395502645502,23.84259259259259,28.62103174603174,65.64814814814814,31.89980158730158,76.89980158730158,33.54001322751322,31.92294973544973,28.763227513227513,25.667989417989414,33.60780423280423,30.140542328042322,27.90839947089947,37.44708994708994,93.77645502645503,30.8151455026455,93.21593915343915,38.58796296296296,24.910714285714285,74.40972222222221,32.21230158730158,28.581349206349206,22.756283068783066,23.556547619047617,40.48115079365079,24.206349206349206,23.690476190476186,32.22056878306878,23.84259259259259,29.115410052910054,89.85119047619047,21.01190476190476,20.46792328042328,35.942460317460316,38.57969576719576,28.81944444444444,29.771825396825395,26.78571428571428,27.581018518518515,26.774140211640212,20.01322751322751,35.59027777777777,29.11210317460317,26.22189153439153,26.57407407407407,22.675264550264547,41.82539682539682,25.16369047619047,57.26686507936507
2022-01-05,28.063822751322746,27.21395502645502,23.84259259259259,28.62103174603174,65.64814814814814,31.89980158730158,76.89980158730158,33.54001322751322,31.92294973544973,28.763227513227513,25.667989417989414,33.60780423280423,30.140542328042322,27.90839947089947,37.44708994708994,93.77645502645503,30.8151455026455,93.21593915343915,38.58796296296296,24.910714285714285,74.40972222222221,32.21230158730158,28.581349206349206,22.756283068783066,23.556547619047617,40.48115079365079,24.206349206349206,23.690476190476186,32.22056878306878,23.84259259259259,29.115410052910054,89.85119047619047,21.01190476190476,20.46792328042328,35.942460317460316,38.57969576719576,28.81944444444444,29.771825396825395,26.78571428571428,27.581018518518515,26.774140211640212,20.01322751322751,35.59027777777777,29.11210317460317,26.22189153439153,26.57407407407407,22.675264550264547,41.82539682539682,25.16369047619047,57.26686507936507
2022-01-06,28.063822751322746,27.21395502645502,23.84259259259259,28.62103174603174,65.64814814814814,31.89980158730158,76.89980158730158,33.54001322751322,31.92294973544973,28.763227513227513,25.667989417989414,33.60780423280423,30.140542328042322,27.90839947089947,37.44708994708994,93.77645502645503,30.8151455026455,93.21593915343915,38.58796296296296,24.910714285714285,74.40972222222221,32.21230158730158,28.581349206349206,22.756283068783066,23.556547619047617,40.48115079365079,24.206349206349206,23.690476190476186,32.22056878306878,23.84259259259259,29.115410052910054,89.85119047619047,21.01190476190476,20.46792328042328,35.942460317460316,38.57969576719576,28.81944444444444,29.771825396825395,26.78571428571428,27.581018518518515,26.774140211640212,20.01322751322751,35.59027777777777,29.11210317460317,26.22189153439153,26.57407407407407,22.675264550264547,41.82539682539682,25.16369047619047,57.26686507936507
2022-01-07,28.063822751322746,27.21395502645502,23.84259259259259,28.62103174603174,65.64814814814814,31.89980158730158,76.89980158730158,33.54001322751322,31.92294973544973,28.763227513227513,25.667989417989414,33.60780423280423,30.140542328042322,27.90839947089947,37.44708994708994,93.77645502645503,30.8151455026455,93.21593915343915,38.58796296296296,24.910714285714285,74.40972222222221,32.21230158730158,28.581349206349206,22.756283068783066,23.556547619047617,40.48115079365079,24.206349206349206,23.690476190476186,32.22056878306878,23.84259259259259,29.115410052910054,89.85119047619047,21.01190476190476,20.46792328042328,35.942460317460316,38.57969576719576,28.81944444444444,29.771825396825395,26.78571428571428,27.581018518518515,26.774140211640212,20.01322751322751,35.59027777777777,29.11210317460317,26.22189153439153,26.57407407407407,22.675264550264547,41.82539682539682,25.16369047619047,57.26686507936507
2022-01-08,28.063822751322746,27.21395502645502,23.84259259259259,28.62103174603174,65.64814814814814,31.89980158730158,76.89980158730158,33.54001322751322,31.92294973544973,28.763227513227513,25.667989417989414,33.60780423280423,30.140542328042322,27.90839947089947,37.44708994708994,93.77645502645503,30.8151455026455,93.21593915343915,38.58796296296296,24.910714285714285,74.40972222222221,32.21230158730158,28.581349206349206,22.756283068783066,23.556547619047617,40.48115079365079,24.206349206349206,23.690476190476186,32.22056878306878,23.84259259259259,29.115410052910054,89.85119047619047,21.01190476190476,20.46792328042328,35.942460317460316,38.57969576719576,28.81944444444444,29.771825396825395,26.78571428571428,27.581018518518515,26.774140211640212,20.01322751322751,35.59027777777777,29.11210317460317,26.22189153439153,26.57407407407407,22.675264550264547,41.82539682539682,25.16369047619047,57.26686507936507
2022-01-09,28.063822751322746,27.21395502645502,23.84259259259259,28.62103174603174,65.64814814814814,31.89980158730158,76.89980158730158,33.54001322751322,31.92294973544973,28.763227513227513,25.667989417989414,33.60780423280423,30.140542328042322,27.90839947089947,37.44708994708994,93.77645502645503,30.8151455026455,93.21593915343915,38.58796296296296,24.910714285714285,74.40972222222221,32.21230158730158,28.581349206349206,22.756283068783066,23.556547619047617,40.48115079365079,24.206349206349206,23.690476190476186,32.22056878306878,23.84259259259259,29.115410052910054,89.85119047619047,21.01190476190476,20.46792328042328,35.942460317460316,38.57969576719576,28.81944444444444,29.771825396825395,26.78571428571428,27.581018518518515,26.774140211640212,20.01322751322751,35.59027777777777,29.11210317460317,26.22189153439153,26.57407407407407,22.675264550264547,41.82539682539682,25.16369047619047,57.26686507936507
2022-01-10,29.08068783068783,32.70006613756613,31.524470899470895,53.79960317460316,34.04100529100529,28.811177248677247,79.88921957671957,35.17526455026455,34.510582010582006,19.21296296296296,25.147156084656082,33.56481481481481,22.334656084656082,90.19014550264549,21.531084656084655,81.81878306878306,23.807870370370367,44.85284391534391,30.41997354497354,24.409722222222218,79.6412037037037,32.136243386243386,28.363095238095234,65.21329365079364,17.931547619047617,70.33730158730158,24.2526455026455,22.86541005291005,30.469576719576718,24.169973544973544,24.50892857142857,73.11507936507935,25.595238095238095,24.85119047619047,89.43121693121692,30.735780423280417,29.33366402116402,30.46792328042328,21.618716931216927,45.38359788359788,41.954365079365076,22.8125,42.62235449735449,34.728835978835974,79.44444444444444,76.13260582010581,21.61375661375661,59.909060846560834,29.034391534391528,36.322751322751316
2022-01-11,29.08068783068783,32.70006613756613,31.524470899470895,53.79960317460316,34.04100529100529,28.811177248677247,79.88921957671957,35.17526455026455,34.510582010582006,19.21296296296296,25.147156084656082,33.56481481481481,22.334656084656082,90.19014550264549,21.531084656084655,81.81878306878306,23.807870370370367,44.85284391534391,30.41997354497354,24.409722222222218,79.6412037037037,32.136243386243386,28.363095238095234,65.21329365079364,17.931547619047617,70.33730158730158,24.2526455026455,22.86541005291005,30.469576719576718,24.169973544973544,24.50892857142857,73.11507936507935,25.595238095238095,24.85119047619047,89.43121693121692,30.735780423280417,29.33366402116402,30.46792328042328,21.618716931216927,45.38359788359788,41.954365079365076,22.8125,42.62235449735449,34.728835978835974,79.44444444444444,76.13260582010581,21.61375661375661,59.909060846560834,29.034391534391528,36.322751322751316
2022-01-12,29.08068783068783,32.70006613756613,31.524470899470895,53.79960317460316,34.04100529100529,28.811177248677247,79.88921957671957,35.17526455026455,34.510582010582006,19.21296296296296,25.147156084656082,33.56481481481481,22.334656084656082,90.19014550264549,21.531084656084655,81.81878306878306,23.807870370370367,44.85284391534391,30.41997354497354,24.409722222222218,79.6412037037037,32.136243386243386,28.363095238095234,65.21329365079364,17.931547619047617,70.33730158730158,24.2526455026455,22.86541005291005,30.469576719576718,24.169973544973544,24.50892857142857,73.11507936507935,25.595238095238095,24.85119047619047,89.43121693121692,30.735780423280417,29.33366402116402,30.46792328042328,21.618716931216927,45.38359788359788,41.954365079365076,22.8125,42.62235449735449,34.728835978835974,79.44444444444444,76.13260582010581,21.61375661375661,59.909060846560834,29.034391534391528,36.322751322751316
