,0
2030-01-07,14874.122001999996
2030-01-14,14874.122001999996
2030-01-21,14874.122001999996
2030-01-28,14874.122001999996
2030-02-04,14874.122001999996
2030-02-11,14874.122001999996
2030-02-18,14874.122001999996
2030-02-25,14874.122001999996
2030-03-04,14874.122001999996
2030-03-11,14874.122001999996
2030-03-18,14874.122001999996
2030-03-25,14874.122001999996
2030-04-01,14874.122001999996
2030-04-08,14874.122001999996
2030-04-15,14874.122001999996
2030-04-22,14874.122001999996
2030-04-29,14874.122001999996
2030-05-06,14874.122001999996
2030-05-13,14874.122001999996
2030-05-20,14874.122001999996
2030-05-27,14874.122001999996
2030-06-03,14874.122001999996
2030-06-10,14874.122001999996
2030-06-17,14874.122001999996
2030-06-24,14874.122001999996
2030-07-01,14874.122001999996
2030-07-08,14874.122001999996
2030-07-15,14874.122001999996
2030-07-22,14874.122001999996
2030-07-29,14874.122001999996
2030-08-05,14874.122001999996
2030-08-12,14874.122001999996
2030-08-19,14874.122001999996
2030-08-26,14874.122001999996
2030-09-02,14874.122001999996
2030-09-09,14874.122001999996
2030-09-16,14874.122001999996
2030-09-23,14874.122001999996
2030-09-30,14874.122001999996
2030-10-07,14874.122001999996
2030-10-14,14874.122001999996
2030-10-21,14874.122001999996
2030-10-28,14874.122001999996
2030-11-04,14874.122001999996
2030-11-11,14874.122001999996
2030-11-18,14874.122001999996
2030-11-25,14874.122001999996
2030-12-02,14874.122001999996
2030-12-09,14874.122001999996
2030-12-16,14874.122001999996
2030-12-23,14874.122001999996
2030-12-30,14874.122001999996
