,0
2030-01-07,328.68310999999994
2030-01-14,328.68310999999994
2030-01-21,328.68310999999994
2030-01-28,328.68310999999994
2030-02-04,328.68310999999994
2030-02-11,328.68310999999994
2030-02-18,328.68310999999994
2030-02-25,328.68310999999994
2030-03-04,328.68310999999994
2030-03-11,328.68310999999994
2030-03-18,328.68310999999994
2030-03-25,328.68310999999994
2030-04-01,328.68310999999994
2030-04-08,328.68310999999994
2030-04-15,328.68310999999994
2030-04-22,328.68310999999994
2030-04-29,328.68310999999994
2030-05-06,328.68310999999994
2030-05-13,328.68310999999994
2030-05-20,328.68310999999994
2030-05-27,328.68310999999994
2030-06-03,328.68310999999994
2030-06-10,328.68310999999994
2030-06-17,328.68310999999994
2030-06-24,328.68310999999994
2030-07-01,328.68310999999994
2030-07-08,328.68310999999994
2030-07-15,328.68310999999994
2030-07-22,328.68310999999994
2030-07-29,328.68310999999994
2030-08-05,328.68310999999994
2030-08-12,328.68310999999994
2030-08-19,328.68310999999994
2030-08-26,328.68310999999994
2030-09-02,328.68310999999994
2030-09-09,328.68310999999994
2030-09-16,328.68310999999994
2030-09-23,328.68310999999994
2030-09-30,328.68310999999994
2030-10-07,328.68310999999994
2030-10-14,328.68310999999994
2030-10-21,328.68310999999994
2030-10-28,328.68310999999994
2030-11-04,328.68310999999994
2030-11-11,328.68310999999994
2030-11-18,328.68310999999994
2030-11-25,328.68310999999994
2030-12-02,328.68310999999994
2030-12-09,328.68310999999994
2030-12-16,328.68310999999994
2030-12-23,328.68310999999994
2030-12-30,328.68310999999994
