,0
2030-01-07,3554.8784029999997
2030-01-14,3554.8784029999997
2030-01-21,3554.8784029999997
2030-01-28,3554.8784029999997
2030-02-04,3554.8784029999997
2030-02-11,3554.8784029999997
2030-02-18,3554.8784029999997
2030-02-25,3554.8784029999997
2030-03-04,3554.8784029999997
2030-03-11,3554.8784029999997
2030-03-18,3554.8784029999997
2030-03-25,3554.8784029999997
2030-04-01,3554.8784029999997
2030-04-08,3554.8784029999997
2030-04-15,3554.8784029999997
2030-04-22,3551.963689
2030-04-29,3551.963689
2030-05-06,3551.963689
2030-05-13,3551.963689
2030-05-20,3551.963689
2030-05-27,3551.963689
2030-06-03,3551.963689
2030-06-10,3551.963689
2030-06-17,3531.359579
2030-06-24,3531.359579
2030-07-01,3531.359579
2030-07-08,3531.359579
2030-07-15,3531.359579
2030-07-22,3531.359579
2030-07-29,3531.359579
2030-08-05,3531.359579
2030-08-12,3531.359579
2030-08-19,3551.963689
2030-08-26,3313.7122689999997
2030-09-02,3313.7122689999997
2030-09-09,3315.186189
2030-09-16,3311.102669
2030-09-23,3311.102669
2030-09-30,3311.102669
2030-10-07,3314.0173829999994
2030-10-14,3307.7600329999996
2030-10-21,3307.7600329999996
2030-10-28,3307.7600329999996
2030-11-04,3307.7600329999996
2030-11-11,3307.7600329999996
2030-11-18,3307.7600329999996
2030-11-25,3307.7600329999996
2030-12-02,3307.7600329999996
2030-12-09,3307.7600329999996
2030-12-16,3307.7600329999996
2030-12-23,3307.7600329999996
2030-12-30,3307.7600329999996
