,0
2030-01-07,3716.95642
2030-01-14,3716.95642
2030-01-21,3716.95642
2030-01-28,3716.95642
2030-02-04,3716.95642
2030-02-11,3716.95642
2030-02-18,3716.95642
2030-02-25,3716.95642
2030-03-04,3716.95642
2030-03-11,3716.95642
2030-03-18,3716.95642
2030-03-25,3716.95642
2030-04-01,3716.95642
2030-04-08,3716.95642
2030-04-15,3716.95642
2030-04-22,3716.95642
2030-04-29,3716.95642
2030-05-06,3716.95642
2030-05-13,3716.95642
2030-05-20,3716.95642
2030-05-27,3716.95642
2030-06-03,3716.95642
2030-06-10,3716.95642
2030-06-17,3716.95642
2030-06-24,3716.95642
2030-07-01,3716.95642
2030-07-08,3716.95642
2030-07-15,3716.95642
2030-07-22,3716.95642
2030-07-29,3716.95642
2030-08-05,3716.95642
2030-08-12,3716.95642
2030-08-19,3716.95642
2030-08-26,3716.95642
2030-09-02,3716.95642
2030-09-09,3716.95642
2030-09-16,3716.95642
2030-09-23,3716.95642
2030-09-30,3716.95642
2030-10-07,3716.95642
2030-10-14,3716.95642
2030-10-21,3716.95642
2030-10-28,3716.95642
2030-11-04,3716.95642
2030-11-11,3716.95642
2030-11-18,3716.95642
2030-11-25,3716.95642
2030-12-02,3716.95642
2030-12-09,3716.95642
2030-12-16,3716.95642
2030-12-23,3716.95642
2030-12-30,3716.95642
